case_id,group,workload,kind,regime,sla_label,shift,role,raw_relative_gap,legacy_relative_gap,raw_largest_safe,raw_nearest_unsafe_above,raw_all_unsafe,raw_right_censored,raw_nonmonotone,raw_single_boundary_supported,legacy_largest_safe,legacy_nearest_unsafe_above,legacy_all_unsafe,legacy_right_censored,legacy_nonmonotone,legacy_single_boundary_supported,reference_largest_safe,reference_nearest_unsafe_above,reference_all_unsafe,reference_right_censored,reference_nonmonotone,reference_single_boundary_supported
h106-o1100-d120-a100-slow-relaxed_decode-shift0,h106-o1100-d120-a100-slow,h106-o1100-d120,a100,relaxed_decode,relaxed-TPOT (fixed TTFT),0,primary,,,,,True,False,False,False,,,True,False,False,False,,,True,False,False,False
h106-o1100-d120-heterogeneous-slow-decode-shift-1,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,heterogeneous,decode,tight-TPOT,-1,primary,,,,,True,False,False,False,,,True,False,False,False,,,True,False,False,False
h106-o1100-d120-heterogeneous-slow-decode-shift-2,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,heterogeneous,decode,tight-TPOT,-2,primary,,,,,True,False,False,False,,,True,False,False,False,,,True,False,False,False
h106-o1100-d120-heterogeneous-slow-decode-shift0,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,heterogeneous,decode,tight-TPOT,0,primary,,,,,True,False,False,False,,,True,False,False,False,,,True,False,False,False
h106-o1100-d120-heterogeneous-slow-decode-shift1,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,heterogeneous,decode,tight-TPOT,1,primary,0.0,-0.02142794137691597,0.0083541903,0.0085371232,False,False,False,True,0.0081751772,0.0083541903,False,False,False,True,0.0083541903,0.0085371232,False,False,False,True
h106-o1100-d120-heterogeneous-slow-decode-shift2,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,heterogeneous,decode,tight-TPOT,2,primary,0.0,-0.02142793920112209,0.0081751772,0.0083541903,False,False,False,True,0.008,0.0081751772,False,False,False,True,0.0081751772,0.0083541903,False,False,False,True
h106-o1100-d120-heterogeneous-slow-prefill-shift-1,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),-1,primary,,,,,True,False,False,False,,,True,False,False,False,,,True,False,False,False
h106-o1100-d120-heterogeneous-slow-prefill-shift-2,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),-2,primary,,,,,True,False,False,False,,,True,False,False,False,,,True,False,False,False
h106-o1100-d120-heterogeneous-slow-prefill-shift0,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),0,primary,,,,,True,False,False,False,,,True,False,False,False,,,True,False,False,False
h106-o1100-d120-heterogeneous-slow-prefill-shift1,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),1,primary,-0.94391534140625,-0.94391534140625,0.2297227616,0.2347530351,False,False,False,True,0.2297227616,0.2347530351,False,False,False,True,4.096,4.1856907209,False,False,True,False
h106-o1100-d120-heterogeneous-slow-prefill-shift2,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),2,primary,-0.9585863549016769,-0.9585863549016769,0.2297227616,0.2347530351,False,False,False,True,0.2297227616,0.2347530351,False,False,False,True,5.5470307203,5.6684948766,False,False,True,False
