case_id,group,workload,duration_s,seed,kind,shift,regime,link,role,status,absolute_gap,relative_gap,precise_sampled_gap,largest_relative_bracket,evaluator_largest_safe,evaluator_nearest_unsafe_above,evaluator_all_unsafe,evaluator_right_censored,evaluator_nonmonotone,evaluator_single_boundary_supported,reference_largest_safe,reference_nearest_unsafe_above,reference_all_unsafe,reference_right_censored,reference_nonmonotone,reference_single_boundary_supported
h105-o900-d30-heterogeneous-fast-decode-shift1,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,1,decode,fast,primary,ok,0.0,0.0,True,0.02189714304209711,0.0083541903,0.0085371232,False,False,False,True,0.0083541903,0.0085371232,False,False,False,True
h105-o900-d30-heterogeneous-fast-decode-shift2,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,2,decode,fast,primary,ok,0.0,0.0,True,0.021897150000000032,0.008,0.0081751772,False,False,False,True,0.008,0.0081751772,False,False,False,True
h105-o900-d30-heterogeneous-fast-prefill-shift-1,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,-1,prefill,fast,primary,ok,-22.5768405485,-0.8193523991269224,True,0.0218971486594548,4.9776531865,5.0866495983,False,False,False,True,27.554493735,28.1578585804,False,False,False,True
h105-o900-d30-heterogeneous-fast-prefill-shift-2,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,-2,prefill,fast,primary,ok,-15.633267333100001,-0.7851725877356139,True,0.021897148666019994,4.2773454128,4.3710070812,False,False,False,True,19.9106127459,20.346598393,False,False,False,True
h105-o900-d30-heterogeneous-fast-prefill-shift0,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,0,prefill,fast,primary,ok,-32.2291763854,-0.8636865334155565,True,0.021897148653681864,5.0866495983,5.1980327207,False,False,False,True,37.3158259837,38.1329361724,False,False,False,True
h105-o900-d30-heterogeneous-fast-prefill-shift1,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,1,prefill,fast,primary,ok,-36.4976121669,-0.8776784922377343,True,0.021897148655456666,5.0866495983,5.1980327207,False,False,False,True,41.5842617652,42.4948385268,False,False,False,True
h105-o900-d30-heterogeneous-fast-prefill-shift2,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,2,prefill,fast,primary,ok,-26.9791997322,-0.8413686303496181,True,0.02189714865379022,5.0866495983,5.1980327207,False,False,False,True,32.0658493305,32.768,False,False,False,True
h106-o1100-d120-a100-slow-decode-shift0,h106-o1100-d120-a100-slow,h106-o1100-d120,120,106,a100,0,decode,slow,primary,ok,,,False,,,,True,False,False,False,,,True,False,False,False
h106-o1100-d120-a100-slow-relaxed_decode-shift0,h106-o1100-d120-a100-slow,h106-o1100-d120,120,106,a100,0,relaxed_decode,slow,primary,ok,,,False,,,,True,False,False,False,,,True,False,False,False
h106-o1100-d120-heterogeneous-slow-decode-shift-1,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,120,106,heterogeneous,-1,decode,slow,primary,ok,,,False,,,,True,False,False,False,,,True,False,False,False
h106-o1100-d120-heterogeneous-slow-decode-shift-2,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,120,106,heterogeneous,-2,decode,slow,primary,ok,,,False,,,,True,False,False,False,,,True,False,False,False
h106-o1100-d120-heterogeneous-slow-decode-shift0,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,120,106,heterogeneous,0,decode,slow,primary,ok,,,False,,,,True,False,False,False,,,True,False,False,False
h106-o1100-d120-heterogeneous-slow-decode-shift1,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,120,106,heterogeneous,1,decode,slow,primary,ok,0.0,0.0,True,0.02189714304209711,0.0083541903,0.0085371232,False,False,False,True,0.0083541903,0.0085371232,False,False,False,True
h106-o1100-d120-heterogeneous-slow-decode-shift2,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,120,106,heterogeneous,2,decode,slow,primary,ok,0.0,0.0,True,0.02189715227212452,0.0081751772,0.0083541903,False,False,False,True,0.0081751772,0.0083541903,False,False,False,True
h106-o1100-d120-heterogeneous-slow-prefill-shift-1,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,120,106,heterogeneous,-1,prefill,slow,primary,ok,,,False,,,,True,False,False,False,,,True,False,False,False
h106-o1100-d120-heterogeneous-slow-prefill-shift-2,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,120,106,heterogeneous,-2,prefill,slow,primary,ok,,,False,,,,True,False,False,False,,,True,False,False,False
h106-o1100-d120-heterogeneous-slow-prefill-shift0,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,120,106,heterogeneous,0,prefill,slow,primary,ok,,,False,,,,True,False,False,False,,,True,False,False,False
h106-o1100-d120-heterogeneous-slow-prefill-shift1,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,120,106,heterogeneous,1,prefill,slow,primary,ok,-3.8662772384,-0.94391534140625,False,0.02189714882828575,0.2297227616,0.2347530351,False,False,False,True,4.096,4.1856907209,False,False,True,False
h106-o1100-d120-heterogeneous-slow-prefill-shift2,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,120,106,heterogeneous,2,prefill,slow,primary,ok,-5.317307958700001,-0.9585863549016769,False,0.02189714882828575,0.2297227616,0.2347530351,False,False,False,True,5.5470307203,5.6684948766,False,False,True,False
