group,regime,kind,role,bias,policy,candidate_count,grid_points,chosen_shift,reported_intensity,output_reference_safe,selected_optimistic,validated_usable_intensity,reference_oracle_intensity,normalized_usable_quality,reference_regret,abstention,reference_calls,evaluator_calls,evaluator_runtime_s,replayed_reference_runtime_s,estimated_planning_runtime_s,query_trace,grid_optimistic,grid_conservative,grid_denominator
h102-o300-d120-heterogeneous-slow,decode,heterogeneous,primary,1.0,compute_margin_25pct,5,53,,,,False,0.0,0.0083541903,0.0,0.0083541903,True,0,265,0.6419970995630138,0.0,0.6419970995630138,[],0,43,265
h102-o300-d120-heterogeneous-slow,decode,heterogeneous,primary,1.0,capacity_derating_20pct,5,53,0,0.0056568542,True,False,0.0056568542,0.0083541903,0.6771277642550231,0.0026973360999999994,False,0,265,5.997087950119749,0.0,5.997087950119749,[],0,28,265
h102-o300-d120-heterogeneous-slow,decode,heterogeneous,primary,1.0,four_scenarios,5,53,,,,False,0.0,0.0083541903,0.0,0.0083541903,True,0,1060,8.787158349528909,0.0,8.787158349528909,[],0,43,265
h102-o300-d120-heterogeneous-slow,decode,heterogeneous,primary,1.0,selected_point_reference,5,53,-2,0.0083541903,True,False,0.0083541903,0.0083541903,1.0,0.0,False,1,265,5.997087950119749,47.18106760003138,53.17815555015113,"[{""shift"":-2,""intensity"":0.0083541903,""safe"":true}]",,,
h102-o300-d120-heterogeneous-slow,decode,heterogeneous,primary,1.0,selected_partition_boundary_reference,5,53,-2,0.0083541903,True,False,0.0083541903,0.0083541903,1.0,0.0,False,5,265,5.997087950119749,228.16022410005098,234.15731205017073,"[{""shift"":-2,""intensity"":0.0083541903,""safe"":true},{""shift"":-2,""intensity"":0.0085371232,""safe"":false},{""shift"":-2,""intensity"":0.0081751772,""safe"":true},{""shift"":-2,""intensity"":0.0087240619,""safe"":false},{""shift"":-2,""intensity"":0.008,""safe"":true}]",,,
h102-o300-d120-heterogeneous-slow,decode,heterogeneous,primary,0.9,evaluator_only,5,53,0,0.0087240619,False,True,0.0,0.0083541903,0.0,0.0083541903,False,0,265,2.7154038999578916,0.0,2.7154038999578916,[],19,0,265
h102-o300-d120-heterogeneous-slow,decode,heterogeneous,primary,0.9,compute_margin_25pct,5,53,,,,False,0.0,0.0083541903,0.0,0.0083541903,True,0,265,1.0476807999657467,0.0,1.0476807999657467,[],0,43,265
h102-o300-d120-heterogeneous-slow,decode,heterogeneous,primary,0.9,capacity_derating_20pct,5,53,0,0.0067271713,True,False,0.0067271713,0.0083541903,0.8052451594261625,0.0016270189999999995,False,0,265,2.7154038999578916,0.0,2.7154038999578916,[],0,24,265
h102-o300-d120-heterogeneous-slow,decode,heterogeneous,primary,0.9,four_scenarios,5,53,,,,False,0.0,0.0083541903,0.0,0.0083541903,True,0,1060,6.669201400887687,0.0,6.669201400887687,[],0,43,265
h102-o300-d120-heterogeneous-slow,decode,heterogeneous,primary,0.9,selected_point_reference,5,53,,,,False,0.0,0.0083541903,0.0,0.0083541903,True,1,265,2.7154038999578916,50.79121940000914,53.50662329996703,"[{""shift"":0,""intensity"":0.0087240619,""safe"":false}]",,,
h102-o300-d120-heterogeneous-slow,decode,heterogeneous,primary,0.9,selected_partition_boundary_reference,5,53,0,0.008,True,False,0.008,0.0083541903,0.9576032760469917,0.00035419029999999956,False,5,265,2.7154038999578916,233.46645579999313,236.18185969995102,"[{""shift"":0,""intensity"":0.0087240619,""safe"":false},{""shift"":0,""intensity"":0.0085371232,""safe"":false},{""shift"":0,""intensity"":0.0083541903,""safe"":false},{""shift"":0,""intensity"":0.0081751772,""safe"":false},{""shift"":0,""intensity"":0.008,""safe"":true}]",,,
h102-o300-d120-heterogeneous-slow,prefill,heterogeneous,primary,1.0,evaluator_only,5,53,1,2.4888265932,True,False,2.4888265932,9.7419846861,0.2554742871594833,7.2531580929,False,0,265,38.32401271915296,0.0,38.32401271915296,[],0,75,265
h102-o300-d120-heterogeneous-slow,prefill,heterogeneous,primary,1.0,compute_margin_25pct,5,53,,,,False,0.0,9.7419846861,0.0,9.7419846861,True,0,265,5.0135704994318075,0.0,5.0135704994318075,[],0,212,265
h102-o300-d120-heterogeneous-slow,prefill,heterogeneous,primary,1.0,capacity_derating_20pct,5,53,0,1.7221558585,True,False,1.7221558585,9.7419846861,0.17677669530287768,8.0198288276,False,0,265,38.32401271915296,0.0,38.32401271915296,[],0,97,265
h102-o300-d120-heterogeneous-slow,prefill,heterogeneous,primary,1.0,four_scenarios,5,53,,,,False,0.0,9.7419846861,0.0,9.7419846861,True,0,1060,74.87737831863342,0.0,74.87737831863342,[],0,212,265
h102-o300-d120-heterogeneous-slow,prefill,heterogeneous,primary,1.0,selected_point_reference,5,53,1,2.4888265932,True,False,2.4888265932,9.7419846861,0.2554742871594833,7.2531580929,False,1,265,38.32401271915296,23.290101399994455,61.614114119147416,"[{""shift"":1,""intensity"":2.4888265932,""safe"":true}]",,,
